id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
190306180315,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
190306180324,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306180350,man,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
190306180455,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306180462,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
190306180479,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306180511,child (up to 15 years),"inattention, distraction",sudden change in walking direction,another situation
190306180539,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
190306180546,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306180598,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306180645,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
190306180719,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306180733,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
190306180750,man,good no adverse circumstances were found,"correct, appropriate",another situation
190306180755,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306180757,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306180758,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
190306180817,man,good no adverse circumstances were found,"correct, appropriate",another situation
190306180837,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190306180858,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
190306180874,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
190306180893,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
190306181063,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181067,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190306181087,Woman,"inattention, distraction",Side impact,crossing at a marked crossing
190306181104,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181131,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306181149,child (up to 15 years),good no adverse circumstances were found,,another situation
190306181162,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306181165,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
190306181226,another group,not detected,,another situation
190306181244,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181255,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181265,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190306181275,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181279,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306181311,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306181317,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
190306181346,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
190306181356,man,"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
190306181362,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
